user_id,event_timestamp,event_date,vin,service_id,service_name,dealer_id,Customer_ID,UID
2971565,1642338306539011,20220116,"a/S42MIa49KSPIgHbxYUoaQQH4QGGsjaXW7RyTVwV90=
","2, 3, ",,45001,2971565,968948480
1310181,1633656024119045,20211008,o8AhHnTPkOMxWUe+Qkxx29Ooh36CFMJZx4jUpWF/Fsg=,,,42049,1310181,932454232
2150021,1645763182279012,20220225,EVpoY45aqw5YoDhJ02fd8LiuN3gF/m9/RUpaRY1xFYE=,4,KTDK Lần 4,42029,2150021,906936949
4901497,1645497701142015,20220222,"KssaGPj9Bzcf4Ce6fD/6A6YYrhIPfm4GqGTkp8I6TRc=
","6, ","Periodic Inspection, ",10010,4901497,392308206
4512979,1622867293505017,20210605,"6azkooClm1EVkPX1rL3zcR2/FKaUjFT63IoNz80pVxA=
","3, 2, ","Maintenance, Change oil, ",39027,4512979,937655916
1130847,1619663899688019,20210429,agRp3IPHZ0nPCo/1l5xZQWPrnjGHEmP3lmSrJu9U5Rw=,,,34008,1130847,844886666
2741432,1621861480262046,20210524,+WqNHbSy0ld+LLEFnA5TvQp20Ddp4TH2NCHsrNC4bBw=,2,KTDK Lần 2,42048,2741432,918107507
725294,1613464751165012,20210216,lkwb9d4bRiN78jQQtlBPo94pSm2tIwrPmOvWKT4C1W0=,,,14032,725294,942921993
4483820,1636805561896015,20211113,"OIhcDgzMg7Ibyh089OD82ZYHWMnnYFlMQcFuBcvpFdE=
","2, ","Change oil, ",42050,4483820,978957539
5949467,1645484695726004,20220222,zWKgbDLQT74M+GlvIUyv69fM1FLnvVORjYQJFE/x30U=,1,KTDK Lần 1,42047,5949467,909329359
3865728,1619327710518024,20210425,"WTXXLXROUvx2mYgLAjuzC3+thWb+uyppiAdaiBv2vl0=
","6, ","Periodic Inspection, ",38040,3865728,937919316
3894052,1646022017215004,20220228,"fRWSrrAejEqz2xFhfgZ1HsamCguLhVLTV+rrM1oadpg=
","6, ",,41007,3894052,988474175
5169520,1650201927502013,20220417,i69IzAcsIDmJ38eIPmGEc4a6MRXz7XudRkGbOU27Iwo=,2,KTDK Lần 2,14060,5169520,919198276
4295844,1643371322528048,20220128,zeC6tlNe3cXYah3yZKKQK9Yd+rnUMlwRApTbpQRIjXM=,,,39007,4295844,913754450
3803324,1630541571202013,20210902,FdtMyFQOnd1SL1Au4f45TqVt4mbvvKtKL04qHXvXNyA=,,,38043,3803324,942223099
4566760,1649124564020022,20220405,FKX2QDz6O2Yh5ma8lVAwEXM9ytdSxIQZQMu+1RBUFxQ=,2,KTDK Lần 2,42049,4566760,392391168
2875897,1635047990821004,20211024,KpiZ/EYuulFBj2eUHwUTddNMg+toRf9/gX1qe3ftW2o=,2,KTDK Lần 2,42077,2875897,918417254
4425075,1643351347848086,20220128,kMaQvKsOVNqPlD4A2ov4FKAl69cfihot8Ft4Z5BU6s8=,,,34002,4425075,903570773
835464,1645850206075029,20220226,j0xFzH7EouQVmXTZEmw25jBHP4K2Zdx+izo04MyieJ0=,3,KTDK Lần 3,44001,835464,939344568
590813,1631513288133016,20210913,mZybz6/sZYzKtn9UPmv9NVEMWWmPDVSK1q98kJxwmB4=,6,KTDK Lần 6,42034,590813,902925133
3824769,1616607673428011,20210325,ZzKPG55A41HmXTbCgUfnRkzhu/djANGmNSz03/WUlCA=,1,KTDK Lần 1,51011,3824769,387805205
3778363,1649690186641012,20220411,"XZOj/jHODQicnlmI02AZ//HIUaJNpTY85y9bdmQypGo=
","3, ",,4003,3778363,387879595
912158,1620633703204009,20210510,"OrV76lGTkJWSD3uVkTzpRr8X4ejW7TM+v2dgQeWSytI=
","6, ","Periodic Inspection, ",27005,912158,905056714
116621,1645768558905015,20220225,"5ZNrifN+Z1okJwx/7KrtF2vv7Gyt85IbAQ0ZChX9T1o=
","6, ",,42076,116621,903603331
3921358,1618064089014010,20210410,9FxG4YT9YDrRtK1V+fwbPv/VBOBWrOPuvFcFQ8nTzI8=,,,14039,3921358,918663638
95020,1618716168023022,20210418,9+XCUXaLyF/XfD5xX/Qdo/kgjjs6gzZ2yRT+a4lQheU=,,,14061,95020,912510765
914988,1646382652384022,20220304,"Ed7caNG6vfyzfaakc3OPW8iGnJfRs+PTPf4mc5Ik8bg=
","2, 3, 4, 5, ",,7005,914988,336942935
2328863,1631251025327006,20210910,VwqXhlhEm3T2PNfDwx+hElzzkKNuw312+OpikhByTwc=,3,KTDK Lần 3,42019,2328863,913349428
2133465,1616234726372046,20210320,"0G8kySJfcSrv7O9ifhz9b2fz0Fj05EKJrOfFZTVXDyk=
","2, 6, 3, ","Change oil, Periodic Inspection, Maintenance, ",39028,2133465,933604369
2810605,1620122009004012,20210504,"7N3TMlNq05E1m00z5ZgymLwr3cPvl7AZCsnr2tzd1tM=
","6, ","Periodic Inspection, ",42015,2810605,908289192
2208185,1632269177613018,20210922,"UcQsRemTcvAri4mCR5n77VWQRVCxu3cHsD39Y4gm3AU=
","3, ","Maintenance, ",42051,2208185,908368466
2491964,1619428557043019,20210426,"Lg4z30axDjfS8pqeu/xf9oE91QOS3vvTN194F/hPx10=
","6, 2, ","Periodic Inspection, Change oil, ",42057,2491964,907907225
3556575,1621065748826021,20210515,RXTbCesaCqOIj8LrKD/Q2k4nKMuHz6hBWEtcmZQ8VrM=,2,KTDK Lần 2,14044,3556575,387510766
2495167,1619615970948040,20210428,"H899swlOWXXOj9VtGJmtFvSjFAYluvVT3oxjmJn4PQA=
","6, 7, 1, ","Periodic Inspection, Warranty, Heavy repair, ",38024,2495167,358869685
4453774,1649498979619015,20220409,N7EnlKi84LrwLh/CNKERfLyLKg9qR+fFPWDnHCcudtw=,2,KTDK Lần 2,42071,4453774,909830292
4002438,1618042095883013,20210410,"DVX95DmWcx6RZtozCPQyCsYctMFf6R9wDlRYi8gw3n8=
","6, ","Periodic Inspection, ",14035,4002438,905608882
2652524,1619774315552024,20210430,"C+raSP+NTStc8pSYliz8poffIke+GlC7p0K81UDDruw=
","7, 6, 2, ","Warranty, Periodic Inspection, Change oil, ",41013,2652524,909172172
