user_id,event_date,promotion_id,promotion_name,Customer_ID,UID
2210,20201124,30,,2210,886901888
895773,20210104,76,,895773,988595807
938467,20200802,7,,938467,903607666
2210,20200918,16,,2210,886901888
2210,20200815,14,,2210,886901888
6651,20200905,16,,6651,901818268
882824,20200825,16,,882824,912227117
509565,20200902,16,,509565,914444821
2210,20200728,7,,2210,886901888
87863,20200725,7,,87863,939832568
1220971,20201224,76,,1220971,917195969
1435414,20210111,76,,1435414,183063849
2210,20200811,14,,2210,886901888
2210,20200730,9,,2210,886901888
492606,20200806,12,,492606,913349030
2210,20200727,7,,2210,886901888
2210,20200731,8,,2210,886901888
579757,20200825,12,,579757,903861517
509565,20200726,7,,509565,914444821
2210,20200820,17,,2210,886901888
2210,20200815,16,,2210,886901888
2266,20200826,16,,2266,915298023
2171643,20210109,76,,2171643,908008889
2210,20201117,30,,2210,886901888
1596329,20210115,76,,1596329,905208685
6651,20200724,5,,6651,901818268
2210,20200726,7,,2210,886901888
2206,20201216,30,,2206,912979995
895773,20210107,76,,895773,988595807
11003,20201123,32,,11003,909021888
907839,20200922,16,,907839,902464813
938467,20200802,5,,938467,903607666
445508,20201027,28,,445508,928999225
579757,20200825,16,,579757,903861517
2210,20200801,9,,2210,886901888
328093,20210120,76,,328093,982070479
579757,20200825,5,,579757,903861517
1220971,20210116,76,,1220971,917195969
509565,20200912,16,,509565,914444821
10793,20201224,76,,10793,0
1614947,20200806,13,,1614947,918966612
1036309,20201027,28,,1036309,965555152
438516,20200806,7,,438516,979937373
2210,20200905,14,,2210,886901888
1825576,20201224,76,,1825576,935207484
1605999,20201224,76,,1605999,985878312
2210,20200814,16,,2210,886901888
2210,20200818,16,,2210,886901888
1614947,20200806,7,,1614947,918966612
438516,20200805,12,,438516,979937373
109602,20201224,76,,109602,978355413
1767730,20201229,76,,1767730,2963603555
19701,20201228,76,,19701,905818739
2210,20200730,7,,2210,886901888
2210,20200805,12,,2210,886901888
2210,20200728,8,,2210,886901888
1220971,20201102,28,,1220971,917195969
2496,20201224,76,,2496,909100582
16125,20200822,16,,16125,919863907
2210,20201208,30,,2210,886901888
16125,20200805,5,,16125,919863907
16125,20200805,12,,16125,919863907
2205,20201020,27,,2205,912299299
2210,20200822,16,,2210,886901888
2210,20200801,8,,2210,886901888
2210,20200727,8,,2210,886901888
2210,20200815,17,,2210,886901888
2210,20200813,14,,2210,886901888
445508,20210113,76,,445508,928999225
1614947,20200821,17,,1614947,918966612
2210,20200805,13,,2210,886901888
579757,20200825,7,,579757,903861517
10793,20210102,76,,10793,0
1614947,20210809,1027,,1614947,918966612
16125,20200805,7,,16125,919863907
2210,20200814,17,,2210,886901888
633782,20201021,26,,633782,977115705
1037484,20201101,26,,1037484,917596677
1090815,20201019,26,,1090815,982501188
1905357,20201027,26,,1905357,915148296
742149,20201110,26,,742149,918165841
2195479,20201019,26,,2195479,905150590
2184777,20201029,26,,2184777,984194476
889059,20201019,26,,889059,983322969
499329,20201019,26,,499329,966632622
1835840,20201025,26,,1835840,774412468
1475886,20201019,26,,1475886,912332345
2319890,20201019,26,,2319890,983838077
2348769,20201025,26,,2348769,988999053
2089906,20201021,26,,2089906,944211287
2237532,20201019,26,,2237532,0
2088239,20201029,26,,2088239,867163244
1652439,20201105,26,,1652439,917654312
1599071,20201105,26,,1599071,388226229
1470666,20201031,26,,1470666,903375870
123496,20201021,26,,123496,911756676
19505,20201022,26,,19505,984453411
14640,20201019,26,,14640,988617169
1716078,20201019,26,,1716078,766355766
1512071,20201103,26,,1512071,355444939
