user_id,event_timestamp,event_date,product_list,promotion_id,promotion_name,Customer_ID,UID
5190126,1.69839E+15,20231027,am,,,5190126,938308112
7486600,1.6927E+15,20230822,am,,,7486600,776745874
2483084,1.60378E+15,20201027,am,,,2483084,939738708
2210,1.60857E+15,20201221,am,,,2210,886901888
4934263,1.67446E+15,20230123,am,,,4934263,973387222
6720770,1.67441E+15,20230123,am,,,6720770,337081739
6143614,1.6591E+15,20220729,am,,,6143614,983406396
6051301,1.65949E+15,20220803,am,,,6051301,982392106
6785784,1.65837E+15,20220721,am,,,6785784,888941268
4626408,1.65838E+15,20220721,am,,,4626408,945890890
2247577,1.69337E+15,20230830,am,,,2247577,974632789
6235679,1.6749E+15,20230128,am,,,6235679,983241559
8419847,1.68319E+15,20230504,am,,,8419847,913507981
6850277,1.65889E+15,20220727,am,,,6850277,949199997
12448,1.66688E+15,20221027,am,,,12448,983003338
12560,1.65812E+15,20220718,am,,,12560,907363863
2384836,1.66149E+15,20220826,am,,,2384836,387386959
6222566,1.65258E+15,20220515,am,,,6222566,979172888
1905791,1.65235E+15,20220512,am,,,1905791,963315192
2222,1.65709E+15,20220706,am,,,2222,916638892
5353060,1.65738E+15,20220709,am,,,5353060,977033040
1905681,1.65738E+15,20220709,am,,,1905681,913674549
4734490,1.671E+15,20221214,am,,,4734490,944434569
2583323,1.68395E+15,20230513,am,,,2583323,902141676
1991377,1.68394E+15,20230513,am,,,1991377,984111199
5864544,1.68395E+15,20230513,am,,,5864544,357742071
4324279,1.66732E+15,20221101,am,,,4324279,938588868
5605103,1.65275E+15,20220517,am,,,5605103,932061160
16889,1.69174E+15,20230811,am,,,16889,915298120
8596258,1.69175E+15,20230811,am,,,8596258,394999505
8233964,1.67928E+15,20230320,am,,,8233964,913700397
4159068,1.65935E+15,20220801,am,,,4159068,978910888
515192,1.65094E+15,20220426,am,,,515192,916921261
5159327,1.65786E+15,20220715,am,,,5159327,938009019
1901156,1.65786E+15,20220715,am,,,1901156,969828333
4619063,1.659E+15,20220728,am,,,4619063,944736516
1428559,1.65902E+15,20220728,am,,,1428559,984395181
4647533,1.65193E+15,20220507,am,,,4647533,707353354
6070236,1.65189E+15,20220507,am,,,6070236,909112608
14581,1.67521E+15,20230201,am,,,14581,978620462
7971813,1.67523E+15,20230201,am,,,7971813,989205205
8878627,1.69352E+15,20230901,am,,,8878627,939160190
2970751,1.68909E+15,20230711,am,,,2970751,325518330
8354774,1.68182E+15,20230418,am,,,8354774,934251225
3276360,1.64839E+15,20220327,am,,,3276360,363334334
6374822,1.65448E+15,20220606,am,,,6374822,979231288
2382098,1.6813E+15,20230412,am,,,2382098,937928630
8078531,1.68334E+15,20230506,am,,,8078531,902330399
363043,1.66441E+15,20220929,am,,,363043,913927997
2610336,1.68577E+15,20230603,am,,,2610336,966923311
3102539,1.66737E+15,20221102,am,,,3102539,97220660
6494656,1.65251E+15,20220514,am,,,6494656,982294894
1410233,1.68431E+15,20230517,am,,,1410233,353778133
2062043,1.69241E+15,20230819,am,,,2062043,918780355
8356709,1.69242E+15,20230819,am,,,8356709,934041146
2936913,1.66294E+15,20220912,am,,,2936913,975836919
6539316,1.65395E+15,20220531,am,,,6539316,911474911
6045624,1.66671E+15,20221025,am,,,6045624,943380986
6519551,1.66667E+15,20221025,am,,,6519551,384339479
5595407,1.64707E+15,20220312,am,,,5595407,984585199
16100,1.67007E+15,20221203,am,,,16100,949653232
7641934,1.67005E+15,20221203,am,,,7641934,917182586
1778805,1.66822E+15,20221112,am,,,1778805,385091279
5385056,1.68731E+15,20230621,am,,,5385056,905699958
1780708,1.65962E+15,20220804,am,,,1780708,912416879
7354646,1.6811E+15,20230410,am,,,7354646,943406789
2662759,1.68113E+15,20230410,am,,,2662759,932849581
8876861,1.69961E+15,20231110,am,,,8876861,944434447
8483297,1.68779E+15,20230626,am,,,8483297,972198102
21053,1.66228E+15,20220904,am,,,21053,906848378
4307452,1.66866E+15,20221117,am,,,4307452,909112200
2843088,1.65917E+15,20220730,am,,,2843088,943852688
328093,1.68352E+15,20230508,am,,,328093,982070479
6261182,1.6984E+15,20231027,am,,,6261182,373986999
9242145,1.6984E+15,20231027,am,,,9242145,917891994
9371505,1.69839E+15,20231027,am,,,9371505,989865689
2246855,1.65295E+15,20220519,am,,,2246855,985781203
6755739,1.65795E+15,20220716,am,,,6755739,967166055
6412416,1.67336E+15,20230110,am,,,6412416,939313194
182883,1.66391E+15,20220923,am,,,182883,904864939
544822,1.65323E+15,20220522,am,,,544822,938651101
1221097,1.65227E+15,20220511,am,,,1221097,932845481
3245836,1.65224E+15,20220511,am,,,3245836,937728889
5531512,1.681E+15,20230409,am,,,5531512,979967919
3933692,1.65331E+15,20220523,am,,,3933692,904274598
4129128,1.69586E+15,20230928,am,,,4129128,9786656
5471692,1.68523E+15,20230528,am,,,5471692,963409111
6962345,1.67179E+15,20221223,am,,,6962345,934804825
872714,1.69405E+15,20230907,am,,,872714,907080088
6551425,1.68478E+15,20230523,am,,,6551425,902953901
1434892,1.68135E+15,20230413,am,,,1434892,966080679
604679,1.68139E+15,20230413,am,,,604679,986817366
701417,1.66764E+15,20221105,am,,,701417,972356779
1278561,1.702E+15,20231208,am,,,1278561,989234673
4073758,1.70149E+15,20231202,am,,,4073758,913699967
3678085,1.65111E+15,20220428,am,,,3678085,985691448
5003944,1.69725E+15,20231014,am,,,5003944,986795185
2210,1.65044E+15,20220420,am,,,2210,886901888
2154816,1.6539E+15,20220530,am,,,2154816,388809879
6206868,1.66817E+15,20221111,am,,,6206868,789047555
