user_id,event_date,product_id,product_name,view_type,duration,promotion_id,promotion_name,Customer_ID,UID
2210,20200711,39,Rebel 500,general,2,,,2210,886901888
53778,20210105,33,CBR1000RR-SP,general,5,,,53778,912433226
2041372,20200924,37,CB500F,general,32,,,2041372,917963003
2477361,20201027,33,CBR1000RR-SP,price and color,19,,,2477361,922773499
3183633,20201231,33,CBR1000RR-SP,general,10,,,3183633,975655989
2296183,20210215,37,CB500F,general,3,,,2296183,918290058
3395347,20210205,33,CBR1000RR-SP,specification,2,,,3395347,967999855
2262141,20210114,36,CB650R,gallery,3,,,2262141,358373201
7048,20221204,86,CB500F 2022,specification,13,,,7048,973968077
561268,20200829,39,Rebel 500,general,37,,,561268,913544020
1746039,20230709,86,CB500F 2022,general,21,,,1746039,982959584
6346308,20230709,81,Rebel 1100,general,1,,,6346308,937585313
27176,20210707,53,CBR500R 2021,general,1,,,27176,0
2583636,20201110,37,CB500F,specification,63,,,2583636,908274946
36344,20201120,4,CBR650R,price and color,19,,,36344,987697838
1421716,20201018,38,CBR500R,general,10,,,1421716,918789066
6474830,20230830,97,CBR150R,general,7,,,6474830,935386997
3429008,20220622,53,CBR500R 2021,general,6,,,3429008,797979330
7455241,20221031,81,Rebel 1100,price and color,2,,,7455241,965584368
2785049,20210307,38,CBR500R,general,1,,,2785049,979126391
5746912,20231003,99,Rebel 1100 2023,gallery,6,,,5746912,375883988
9906796,20240125,115,CB350 H'ness,general,19,,,9906796,919458179
5746510,20231117,110,Vario 125,price and color,1,,,5746510,908240025
2631391,20210713,53,CBR500R 2021,general,5,,,2631391,905639683
3489255,20230608,53,CBR500R 2021,general,2,,,3489255,984833119
8444853,20231122,97,CBR150R,general,38,,,8444853,934898950
34990,20240127,113,Future 125 FI,general,13,,,34990,905073434
8330649,20230919,95,Blade 2023,general,1,,,8330649,838964523
5746912,20231115,106,Wave Alpha phiên bản cổ điển,price and color,5,,,5746912,375883988
4525129,20240114,98,Gold Wing,general,2,,,4525129,833662255
4307452,20230615,81,Rebel 1100,gallery,1,,,4307452,909112200
4543356,20240130,113,Future 125 FI,general,7,,,4543356,968899993
24370,20230907,86,CB500F 2022,price and color,15,,,24370,988962358
72635,20240104,113,Future 125 FI,specification,4,,,72635,975042809
489428,20240103,113,Future 125 FI,general,4,,,489428,908777678
1947708,20231210,112,Winner X 2024,specification,3,,,1947708,903403631
974514,20240129,97,CBR150R,specification,23,,,974514,979877464
2221727,20240126,110,Vario 125,gallery,1,,,2221727,949989229
1974448,20200904,25,Blade,general,25,,,1974448,979235188
2210,20200711,36,CB650R,general,3,,,2210,886901888
