user_id,event_timestamp,event_date,vin,service_id,service_name,dealer_id,Customer_ID,UID
771371,1605666783388080,20201118,RLHRM3857FY502494,"17, ","Periodic Maintenance, ",1010,771371,986662255
560831,1609905932109037,20210106,rlhgm6667jy824646,"17, ","Periodic Maintenance, ",1010,560831,385267095
7078,1604102589635026,20201031,RLHGM6663JY825499,"17, ","Periodic Maintenance, ",2030,7078,989078495
892783,1608792310536024,20201224,RLHRW1874LY002613,"17, ","Periodic Maintenance, ",2060,892783,9051268
1024672,1604045953419037,20201030,RLHGM6660JY824729,"17, ","Periodic Maintenance, ",2040,1024672,912602641
180207,1607240858320006,20201206,MRHRW1870KP082202,"17, ","Periodic Maintenance, ",1060,180207,981926680
2418737,1604880918432008,20201109,MRHRU5830MP080033,"11, ","Periodic Maintenance 1.000 km, ",3020,2418737,932622911
12575,1606145403508020,20201123,RLHGM666XKY831527,"17, ","Periodic Maintenance, ",3100,12575,932129578
84166,1610029063486000,20210107,MRHFC6610KT031336,"17, ","Periodic Maintenance, ",2010,84166,983500801
546778,1610109029975018,20210108,MHRDD1890KJ051630,"17, ","Periodic Maintenance, ",1040,546778,983537768
1511317,1609304931994013,20201230,RLHGM6660FY601145,"17, ","Periodic Maintenance, ",3020,1511317,918629972
1262437,1609904377651004,20210106,RLHGM6660LY924316,"17, ","Periodic Maintenance, ",1010,1262437,988565659
1480005,1609896008941025,20210106,RLHGM6662LY924821,"17, ","Periodic Maintenance, ",2080,1480005,932566117
53778,1607219052915035,20201206,MRHGK5870KT040992,"17, 14, ","Periodic Maintenance, Recall, ",1040,53778,912433226
1545405,1609841461478039,20210105,RLHGM6664LY923637,"17, ","Periodic Maintenance, ",1170,1545405,886892626
1271764,1607347404267027,20201207,MHRDD1860KJ050435,"17, ","Periodic Maintenance, ",1040,1271764,913237706
560831,1609856186243003,20210105,rlhgm6667jy824646,"17, ","Periodic Maintenance, ",1040,560831,385267095
1476728,1609374370593013,20201231,MRHRW1870LP080377,"17, ","Periodic Maintenance, ",3010,1476728,909009883
